variable_name,type,logged,lagged
recipient_iso3,identifier,no,no
year,identifier,no,no
arms_tiv_total,predictor,no,no
oda_total,predictor,no,no
econ_neocol_score_total,predictor,no,no
colonial_tie_flag,predictor,no,no
journalist_killings,target,no,no
gdp_per_capita,control,no,no
gdp_per_capita_log,control,yes,no
population,control,no,no
population_log,control,yes,no
armed_conflict,control,no,no
conflict_intensity,control,no,no
arms_tiv_in_strength_lag1,network,no,yes
arms_tiv_out_strength_lag1,network,no,yes
arms_tiv_dependency_balance_lag1,network,no,yes
arms_tiv_in_concentration_lag1,network,no,yes
arms_tiv_pagerank_lag1,network,no,yes
bilateral_oda_in_strength_lag1,network,no,yes
bilateral_oda_out_strength_lag1,network,no,yes
bilateral_oda_dependency_balance_lag1,network,no,yes
bilateral_oda_in_concentration_lag1,network,no,yes
bilateral_oda_pagerank_lag1,network,no,yes
colonial_tie_in_strength_lag1,network,no,yes
colonial_tie_out_strength_lag1,network,no,yes
colonial_tie_dependency_balance_lag1,network,no,yes
colonial_tie_in_concentration_lag1,network,no,yes
colonial_tie_pagerank_lag1,network,no,yes
econ_neocol_score_in_strength_lag1,network,no,yes
econ_neocol_score_out_strength_lag1,network,no,yes
econ_neocol_score_dependency_balance_lag1,network,no,yes
econ_neocol_score_in_concentration_lag1,network,no,yes
econ_neocol_score_pagerank_lag1,network,no,yes
arms_tiv_total_log,predictor,yes,no
oda_total_log,predictor,yes,no
arms_tiv_total_log_lag1,predictor,yes,yes
oda_total_log_lag1,predictor,yes,yes
econ_neocol_score_total_lag1,predictor,no,yes
