feature,VIF,flag
econ_neocol_score_in_strength_lag1,10.698343551223996,HIGH
bilateral_oda_in_strength_lag1,10.395600024472923,HIGH
oda_x_colonial,10.01045537103155,HIGH
colonial_tie_flag,9.742159970269908,
econ_neocol_score_total_lag1,8.52095748976799,
armed_conflict,8.398080509151534,
conflict_intensity,8.395291227221374,
oda_total_log_lag1,7.51492888638859,
arms_tiv_total_log_lag1,6.7247432978996855,
econ_x_colonial,6.675098421296993,
arms_tiv_in_strength_lag1,5.398360010142384,
colonial_tie_in_strength_lag1,4.106652793957339,
bilateral_oda_pagerank_lag1,3.9853023580588633,
arms_x_colonial,3.4015478292940284,
population_log,2.7599722332846626,
gdp_per_capita_log,2.6120132115382946,
econ_neocol_score_pagerank_lag1,2.371704842938966,
arms_tiv_pagerank_lag1,2.2650009981786194,
colonial_tie_pagerank_lag1,1.4765882350197908,
